pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
434150,500,dollar,month,10,2015,65,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,1,1,,5,new building
385514,450,lari,month,10,2015,30,,for_rent,flat,Tbilisi,Old Tbilisi,Mtatsminda,Ingorokva st.,Newly renovated,1,1,1,,1,old building
310450,600,dollar,month,10,2015,75,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,2,1,1,1,21,new building
310457,800,dollar,month,10,2015,106,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Eurostandard,3,2,1,1,21,new building
312258,500,dollar,month,10,2015,50,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,1,1,1,8,new building
317813,450,dollar,month,10,2015,65,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Mitskevichi st.,Newly renovated,2,1,1,1,2,new building
349586,135000,dollar,,10,2015,106,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,3,2,2,,3,new building
349906,88000,dollar,,10,2015,141,,for_sale,flat,Tbilisi,Vake-Saburtalo,Didi digomi,Giorgi Brtskinvale st.,Newly renovated,4,3,2,,3,old building
444375,900,dollar,month,10,2015,100,,for_rent,flat,Tbilisi,Old Tbilisi,Mtatsminda,Beridze st.,Newly renovated,3,1,1,,1,old building
134356,50,dollar,day,10,2015,135,,for_rent,flat,Batumi,,,,Eurostandard,4,3,2,3,6,new building
134359,800,,month,10,2015,135,,for_rent,flat,Batumi,,,,Eurostandard,4,3,2,3,6,new building
419231,1800,dollar,month,10,2015,200,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Tamarashvili st.,Newly renovated,5,3,2,2,10,new building
416224,45000,dollar,,10,2015,57,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Newly renovated,2,1,1,1,16,new building
362714,300,dollar,month,10,2015,100,,for_rent,flat,Batumi,All areas,All districts,Queen Tamara st.,Old renovated,3,2,1,,1,old building
416103,55250,dollar,,10,2015,65,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vedzisi,Oniashvili st.,White Frame,3,2,1,1,3,new building
476537,700,lari,month,10,2015,65,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Kavtaradze st.,Renovated,25,1,1,,5,old building
352275,150,dollar,day,10,2015,200,50,for_rent,private_house,Tbilisi,Old Tbilisi,Mtatsminda,A.Chavchavadze st.,Newly renovated,5,3,2,2,,new building
352276,3000,lari,month,10,2015,650,600,for_rent,commercial_estate,Tbilisi,Didube-Chugureti,Digomi,Lubliani st.,Black Frame,21,9,8,5,,new building
352278,100000,dollar,,10,2015,,1038,for_sale,land,Tbilisi,Gldani-Nadzaladevi,Gldani,Kerchi st.,,,,,,,
341700,2500,dollar,month,10,2015,250,700,for_rent,private_house,Tbilisi,Vake-Saburtalo,Digomi 8,,Eurostandard,5,4,4,3,,new building
349709,1000,dollar,month,10,2015,200,500,for_rent,private_house,Tbilisi,Vake-Saburtalo,Digomi village,,Eurostandard,4,2,2,1,,new building
395766,700,dollar,month,10,2015,95,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Eurostandard,3,2,1,2,7,new building
438981,42000,dollar,,10,2015,36,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Renovated,1,1,1,1,4,old building
267639,485000,dollar,,10,2015,1127,1127,for_sale,private_house,Tbilisi,Didgori,Tabakhmela,,Eurostandard,8,6,4,3,,new building
286717,115000,dollar,,10,2015,115,,for_sale,flat,Tbilisi,Old Tbilisi,Sololaki,L. Asatiani st.,W/o renovation,3,2,1,1,3,old building
286721,32000,dollar,,10,2015,,950,for_sale,land,Tbilisi,Gldani-Nadzaladevi,Avchala,,,,,,,,
304365,75000,dollar,,10,2015,75,,for_sale,flat,Tbilisi,Old Tbilisi,Sololaki,L. Asatiani st.,Old renovated,2,1,1,,1,old building
383693,57000,dollar,,10,2015,75,,for_sale,flat,Tbilisi,Old Tbilisi,Sololaki,Iashvili st.,W/o renovation,3,2,2,1,3,old building
318332,230000,dollar,,10,2015,211,,for_sale,flat,Tbilisi,Old Tbilisi,Vera,Petriashvili st.,Eurostandard,6,4,3,2,5,old building
319813,50000,dollar,,10,2015,,500,for_sale,land,Natanebi,,,,,,,,,,
351430,55000,dollar,,10,2015,62,,for_sale,flat,Tbilisi,Old Tbilisi,Vera,,Newly renovated,2,1,1,,1,old building
382553,25000,dollar,,10,2015,200,3900,for_sale,private_house,Tetritskaro,,,,Old renovated,8,6,1,,,old building
389363,140000,dollar,,10,2015,130,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,S.Tsintsadze st.,Eurostandard,4,3,2,1,4,new building
390482,70000,dollar,,10,2015,90,,for_sale,flat,Tbilisi,Didube-Chugureti,Chugureti,King Tamar avenue,Renovated,2,1,1,,4,old building
396248,160000,dollar,,10,2015,180,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,,Old renovated,4,2,2,1,3,old building
455305,46000,dollar,,10,2015,74,,for_sale,flat,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,M.Meskhi st.,White Frame,3,2,1,2,2,new building
476429,85000,dollar,,10,2015,128,,for_sale,flat,Tbilisi,Didube-Chugureti,Digomi,Gr.Robakidze avenue,Under renovation,4,2,2,1,7,new building
417601,12000,dollar,,10,2015,,401,for_sale,land,Ureki,,,,,,,,,,
