pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
465926,300,dollar,month,10,2016,36,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,15,1,1,1,2,old building
409876,100000,dollar,,10,2016,83,,for_sale,flat,Tbilisi,Didube-Chugureti,Chugureti,Mardjanishvili st.,Newly renovated,3,2,1,1,4,old building
412699,5000,dollar,,10,2016,,1000,for_sale,land,Bulachauri,,,,,,,,,,
170218,5000,dollar,,10,2016,,1000,for_sale,land,Dusheti,,,,,,,,,,
400827,82000,dollar,,10,2016,108,,for_sale,flat,Tbilisi,Old Tbilisi,Mtatsminda,Baratashvili st.,Old renovated,4,2,1,1,4,old building
417674,55000,dollar,,10,2016,65,,for_sale,flat,Tbilisi,Didube-Chugureti,Didube,Mirtskhulava st.,Newly renovated,25,1,1,2,3,old building
435027,145000,dollar,,10,2016,135,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,,Newly renovated,4,3,2,2,4,new building
503774,40000,dollar,,10,2016,150,1000,for_sale,private_house,Tbilisi,Gldani-Nadzaladevi,Avchala,,,4,3,2,1,,old building
500447,800,dollar,month,10,2016,85,,for_rent,flat,Tbilisi,Didube-Chugureti,Chugureti,Uznadze st.,Newly renovated,3,2,1,2,6,old building
512285,280000,dollar,,10,2016,375,2500,for_sale,private_house,Saguramo,,,,Newly renovated,8,4,3,4,,new building
538922,133650,dollar,,10,2016,81,,for_sale,flat,Tbilisi,Old Tbilisi,Sololaki,,Newly renovated,3,2,1,1,3,old building
572286,79000,dollar,,10,2016,107,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,White Frame,3,2,2,,4,
566876,120000,dollar,,10,2016,157,,for_sale,flat,Tbilisi,Old Tbilisi,Vera,G. Akhvlediani st.,Newly renovated,4,3,2,2,2,old building
560678,280000,dollar,,10,2016,375,2500,for_sale,summer_house,Saguramo,,,,Newly renovated,8,4,3,4,,new building
102346,1180000,dollar,,10,2016,1080,,for_sale,commercial_estate,Tbilisi,Isani-Samgori,Navtlugi,B..Khmelnitski st.,,,,,,,old building
573829,95000,dollar,,10,2016,100,,for_sale,flat,Tbilisi,Isani-Samgori,Isani,,W/o renovation,4,3,1,3,4,old building
583413,41000,dollar,,10,2016,41,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,T.Tabidze st.,Renovated,15,1,1,1,2,old building
581898,54000,dollar,,10,2016,150,150,for_sale,private_house,Tbilisi,Gldani-Nadzaladevi,Sanzona,Gvazauri st.,W/o renovation,8,2,1,1,,old building
572663,65500,dollar,,10,2016,70,,for_sale,flat,Tbilisi,Isani-Samgori,Samgori,Kakheti highway,Renovated,3,2,2,1,5,new building
586095,450,dollar,month,10,2016,41,,for_rent,commercial_estate,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,,1,,1,new building
614382,87000,dollar,,10,2016,210,550,for_sale,private_house,Tbilisi,Vake-Saburtalo,Didi digomi,,White Frame,9,3,2,,,new building
625266,500,lari,month,10,2016,55,,for_rent,flat,Tbilisi,Vake-Saburtalo,Vedzisi,,Renovated,2,1,1,,1,old building
641641,Contract price,,,10,2016,70,,for_rent,flat,Tbilisi,Isani-Samgori,Varketili,,Newly renovated,3,2,1,2,4,new building
641639,Contract price,,,10,2016,120,20000,for_sale,private_house,Kobuleti,,,,Old renovated,5,3,1,,,
641638,25000,dollar,,10,2016,,500,for_sale,land,Ureki,,,,,,,,,,
641636,500,dollar,month,10,2016,92,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Old renovated,3,2,1,2,7,old building
641635,300,dollar,month,10,2016,62,,for_rent,flat,Tbilisi,Gldani-Nadzaladevi,Gldani,,Newly renovated,3,1,1,2,5,new building
641633,100000,dollar,,10,2016,84,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Eurostandard,2,1,1,1,11,new building
641630,55000,dollar,,10,2016,76,,for_sale,flat,Tbilisi,Isani-Samgori,Varketili,,,3,2,2,2,3,
160622,200000,dollar,,10,2016,360,585,for_sale,private_house,Tbilisi,Vake-Saburtalo,Saburtalo,Delisi st. II,Old renovated,10,3,2,2,,old building
641628,11200,dollar,,10,2016,,700,for_sale,land,Tsodoreti,,,,,,,,,,
641626,200000,dollar,,10,2016,,800,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641625,161000,dollar,,10,2016,,805,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641624,190800,dollar,,10,2016,,424,for_sale,land,Tbilisi,Old Tbilisi,Avlabari,,,,,,,,
641623,157250,dollar,,10,2016,,629,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641622,228400,dollar,,10,2016,,1142,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641621,350000,dollar,,10,2016,,1340,for_sale,land,Tbilisi,Old Tbilisi,Mtatsminda,,,,,,,,
641620,400000,dollar,,10,2016,,1100,for_sale,land,Tbilisi,Didube-Chugureti,Digomi,,,,,,,,
641608,200000,dollar,,10,2016,,800,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641607,161000,dollar,,10,2016,,805,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641606,65000,dollar,,10,2016,140,250,for_sale,private_house,Tbilisi,Gldani-Nadzaladevi,Mukhiani,,Newly renovated,5,3,2,,,new building
641605,190800,dollar,,10,2016,,424,for_sale,land,Tbilisi,Old Tbilisi,Avlabari,,,,,,,,
641604,157250,dollar,,10,2016,,629,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641603,Contract price,,,10,2016,72,,for_sale,flat,Tbilisi,Gldani-Nadzaladevi,Sanzona,Guramishvili avenue,Eurostandard,3,2,2,3,9,new building
641602,228400,dollar,,10,2016,,1142,for_sale,land,Tbilisi,Isani-Samgori,Ortachala,,,,,,,,
641600,26000,dollar,,10,2016,70,,for_sale,flat,Rustavi,,,,Old renovated,3,2,2,1,4,old building
641599,350000,dollar,,10,2016,,1340,for_sale,land,Tbilisi,Old Tbilisi,Mtatsminda,,,,,,,,
641598,400000,dollar,,10,2016,,1100,for_sale,land,Tbilisi,Didube-Chugureti,Digomi,,,,,,,,
641593,100000,dollar,,10,2016,152,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,Mtskheta st.,Newly renovated,5,3,1,1,3,old building
641590,380,dollar,month,10,2016,72,,for_rent,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Bochorishvili st.,Newly renovated,2,1,2,1,4,new building
641589,65000,dollar,,10,2016,53,,for_sale,flat,Tbilisi,Vake-Saburtalo,Vake,Shatberashvili st.,Eurostandard,2,1,1,1,7,old building
637074,70000,dollar,,10,2016,70,,for_sale,flat,Tbilisi,Old Tbilisi,Vera,Petriashvili st.,Newly renovated,3,2,1,1,2,old building
641558,20000,dollar,,10,2016,64,,for_sale,flat,Tbilisi,Isani-Samgori,Varketili,,,2,1,2,,1,
641550,Contract price,,,10,2016,,500,for_sale,land,Tbilisi,Vake-Saburtalo,,,,,,,,,
641548,Contract price,,,10,2016,,500,for_sale,land,Tbilisi,Vake-Saburtalo,,,,,,,,,
641547,210000,dollar,,10,2016,205,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,4,3,3,1,14,new building
641543,20,dollar,,10,2016,90,,for_sale,flat,Khoni,,,,Eurostandard,4,2,1,1,1,old building
641541,25000,dollar,,10,2016,78,,for_sale,flat,Tbilisi,Vake-Saburtalo,Didi digomi,,Black Frame,3,2,2,,4,old building
641527,23000,dollar,,10,2016,30,,for_sale,flat,Batumi,,,,Newly renovated,1,1,1,,9,new building
641524,450,lari,month,10,2016,45,,for_rent,flat,Tbilisi,Didube-Chugureti,Chugureti,Chitaia st.,Newly renovated,1,1,2,1,2,old building
641522,250,dollar,month,10,2016,64,,for_rent,flat,Batumi,,,,Newly renovated,3,2,1,1,10,old building
641520,27,dollar,,10,2016,40,,for_sale,flat,Tbilisi,,,,Newly renovated,1,1,1,,1,
641518,25,dollar,,10,2016,40,,for_sale,flat,Tbilisi,Old Tbilisi,Mtatsminda,,Newly renovated,1,1,1,,1,
641508,80000,dollar,,10,2016,322,501,for_sale,private_house,Tbilisi,Gldani-Nadzaladevi,Lotkini,,Under renovation,5,3,6,2,,under construction
641507,2100,dollar,month,10,2016,158,,for_rent,flat,Tbilisi,Vake-Saburtalo,Vake,I.Abashidze st.,Renovated,4,2,2,3,2,new building
641506,73000,dollar,,10,2016,72,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,2,1,1,1,9,new building
641502,45000,dollar,,10,2016,33,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,15,1,1,1,6,old building
641494,500,dollar,month,10,2016,50,,for_rent,flat,Tbilisi,Vake-Saburtalo,,,Newly renovated,2,1,1,,8,new building
641493,73000,dollar,,10,2016,72,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,Gotua st.,Newly renovated,2,1,1,1,9,new building
641492,45000,dollar,,10,2016,336,,for_sale,flat,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,15,1,1,1,6,old building
641489,95000,dollar,,10,2016,120,,for_sale,flat,Tbilisi,Vake-Saburtalo,Bagebi,,White Frame,3,2,2,2,2,new building
641488,300,dollar,month,10,2016,62,,for_rent,flat,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Renovated,2,1,1,1,2,old building
641485,33000,dollar,,10,2016,40,,for_sale,flat,Tbilisi,Gldani-Nadzaladevi,Sanzona,,Old renovated,1,1,3,1,3,old building
641484,Contract price,,,10,2016,,1000,for_sale,land,Tbilisi,,,,,,,,,,
641479,350,dollar,month,10,2016,55,,for_rent,flat,Batumi,,,,Newly renovated,2,1,1,,7,new building
