pid,price,price_currency,price_timeframe,month,year,area,larea,type,otype,otype_sub,cid,rid,did,tagged_sid,renovation,nrooms,nbeds,nbaths,nbalcs,wfloor,status
310074,435715,lari,,11,2018,,2045,for_sale,land,Land,Tbilisi,Vake-Saburtalo,Bagebi,Uchaneishvili st.,,,,,,,
310078,408097,lari,,11,2018,,2189,for_sale,land,Land,Tbilisi,Vake-Saburtalo,Bagebi,Uchaneishvili st.,,,,,,,
310410,163876,lari,,11,2018,,900,for_sale,land,Land,Tbilisi,Didgori,Oqrokana,,,,,,,,
379444,9321,lari,month,11,2018,448,400,for_rent,private_house,House,Tbilisi,Gldani-Nadzaladevi,Nadzaladevi,A.Janelidze st.,Newly renovated,6,5,6,2,,new building
310471,3590,lari,month,11,2018,288,1200,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Digomi 7,,Newly renovated,4,3,3,4,,new building
378319,199704,lari,,11,2018,100,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,I.Abashidze st.,W/o renovation,3,2,1,1,6,old building
378489,1864,lari,month,11,2018,65,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,Kobuleti st.,Newly renovated,,,1,,,new building
264385,987331,lari,,11,2018,316,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,N. Ramishvili st.,White Frame,5,4,4,6,5,new building
307651,617885,lari,,11,2018,,2900,for_sale,land,Land,Saguramo,,,,,,,,,,
308297,1332,lari,month,11,2018,56,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Kavtaradze st.,Newly renovated,2,1,1,1,3,new building
308434,53265,lari,,11,2018,,1000,for_sale,land,Land,Tbilisi,Didgori,Tsavkisi,,,,,,,,
308494,332912,lari,,11,2018,150,,for_sale,flat,Apartments,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Renovated,2,1,1,1,3,old building
377747,3995,lari,month,11,2018,135,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,,Old renovated,7,2,2,4,3,old building
306572,6391,lari,month,11,2018,200,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,Agmashenebeli ave.,Newly renovated,,,1,,14,
467840,2410,lari,month,11,2018,120,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vedzisi,Lvovi st.,Renovated,3,,2,,1,old building
467779,5326,lari,month,11,2018,134,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,I.Abashidze st.,Newly renovated,,,1,,,
467471,1598,lari,month,11,2018,105,,for_rent,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,,Newly renovated,3,2,1,1,2,new building
467265,4793,lari,month,11,2018,60,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Newly renovated,1,,1,,,
310775,173114,lari,,11,2018,113,,for_sale,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Old renovated,3,,2,,1,old building
264435,13315,lari,month,11,2018,531,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Newly renovated,12,,,,,
264458,1065083,lari,,11,2018,360,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Iosebidze st.,Renovated,5,4,3,3,7,new building
264480,191715,lari,,11,2018,70,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,W/o renovation,2,1,1,,1,old building
264533,505914,lari,,11,2018,86,,for_sale,commercial_estate,Restaurant,Tbilisi,Old Tbilisi,Vera,N.Nikoladze st.,Renovated,,,1,,,
264950,465974,lari,,11,2018,175,,for_sale,flat,Apartments,Tbilisi,Vake-Saburtalo,Saburtalo,Shartava st.,Old renovated,5,4,2,3,4,old building
265587,3196,lari,month,11,2018,110,,for_rent,commercial_estate,Restaurant,Tbilisi,Didube-Chugureti,Chugureti,,Renovated,,,1,,,
502247,799,lari,month,11,2018,60,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Chavchavadze avenue,Newly renovated,2,,1,,,
558826,274,lari,day,11,2018,,,for_lease_one,flat,Apartments,Tbilisi,Old Tbilisi,Mtatsminda,Chanturia st.,Newly renovated,2,1,1,1,9,new building
558122,3995,lari,month,11,2018,140,,for_rent,commercial_estate,Restaurant,Tbilisi,Old Tbilisi,Sololaki,Atoneli st.,Renovated,,,2,,,
561854,932,lari,month,11,2018,50,,for_rent,flat,Apartments,Tbilisi,Old Tbilisi,Krtsanisi,Gorgasali st.,Newly renovated,2,1,1,1,11,new building
563400,3675,lari,month,11,2018,265,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Sololaki,,Newly renovated,7,,2,,3,
563352,1864,lari,month,11,2018,180,1200,for_rent,private_house,House,Tbilisi,Vake-Saburtalo,Digomi village,,Renovated,6,3,2,2,,
518513,9986,lari,month,11,2018,800,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,I.Gamrekeli st.,Newly renovated,15,,5,,1,
519671,1332,lari,month,11,2018,65,,for_rent,commercial_estate,Office,Tbilisi,Didube-Chugureti,Chugureti,Sankt-Peterburg st.,Newly renovated,2,,1,,1,
519679,665750,lari,,11,2018,150,,for_sale,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Kostava st.,Newly renovated,5,,1,,2,
530289,3196,lari,month,11,2018,110,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Kazbegi avenue,Newly renovated,5,,1,,1,
532646,6658,lari,month,11,2018,350,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Berbuki st.,Newly renovated,15,,1,,1,
532662,7989,lari,month,11,2018,320,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,S.Chikovani st.,Newly renovated,10,,1,,1,new building
534213,3329,lari,month,11,2018,63,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Nutsubidze st.,Newly renovated,1,,1,,1,
682803,799,lari,month,11,2018,30,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,I.Abashidze st.,Renovated,1,,1,,1,
682848,2663,lari,month,11,2018,140,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Renovated,4,,1,,1,
682857,5592,lari,month,11,2018,150,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,Newly renovated,6,,1,,3,new building
648812,585860,lari,,11,2018,290,,for_sale,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Kandelaki st.,Newly renovated,5,,1,,1,
650200,439395,lari,,11,2018,100,,for_sale,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Taktakishvili st.,Newly renovated,3,,1,,2,new building
649190,3995,lari,month,11,2018,80,,for_rent,commercial_estate,Office,Tbilisi,Old Tbilisi,Mtatsminda,Besiki st.,Renovated,4,,1,,6,new building
792560,1598,lari,month,11,2018,60,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Vake,Paliashvili st.,Newly renovated,1,,1,,2,
792557,3193,lari,month,11,2018,60,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Vake,Paliashvili st.,Newly renovated,2,,2,,1,
723026,559230,lari,,11,2018,140,,for_sale,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Dolidze st.,Newly renovated,3,,1,,1,
730912,2396700,lari,,11,2018,1000,,for_sale,commercial_estate,Hotel,Tbilisi,Vake-Saburtalo,Nutsubidze plateau,,Newly renovated,,,11,,,new building
730916,3196,lari,month,11,2018,97,,for_rent,commercial_estate,Retail real estate,Tbilisi,Vake-Saburtalo,Saburtalo,Tsagareli st.,Black Frame,1,,1,,1,new building
734369,426080,lari,,11,2018,130,,for_sale,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Pekini st.,Newly renovated,9,,1,,2,new building
732863,2663,lari,month,11,2018,81,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Saburtalo st.,Newly renovated,2,,1,,1,
732879,959,lari,month,11,2018,82,,for_rent,commercial_estate,Office,Tbilisi,Vake-Saburtalo,Saburtalo,Vazha-pshavela ave.,Renovated,3,,1,,2,
